dnevna,,,,,,,,,
frames, distance, angle, TP , FN , FP,recall,precision,F1,
129,4,90,128,1,0,0.992248062,1,0.996108949,254.0077821
129,3,90,129,0,0,1,1,1,255
129,2,90,129,0,0,1,1,1,255
129,1,90,129,0,0,1,1,1,255
107,4,75,105,2,0,0.981308411,1,0.990566038,252.5943396
107,3,75,107,0,0,1,1,1,255
107,2,75,107,0,0,1,1,1,255
107,1,75,107,0,0,1,1,1,255
112,4,60,85,27,0,0.758928571,1,0.862944162,220.0507614
112,3,60,112,0,0,1,1,1,255
112,2,60,112,0,0,1,1,1,255
112,1,60,112,0,0,1,1,1,255
135,4,45,61,74,0,0.451851852,1,0.62244898,158.7244898
135,3,45,135,0,0,1,1,1,255
135,2,45,135,0,0,1,1,1,255
135,1,45,135,0,0,1,1,1,255
132,4,30,0,132,0,0,0,0,0
132,3,30,105,27,0,0.795454545,1,0.886075949,225.9493671
132,2,30,132,0,0,1,1,1,255
132,1,30,132,0,0,1,1,1,255
,,,,,,,,,
temna,,,,,,,,,
frames, distance, angle, TP , FN , FP,,,,
127,4,30,0,127,0,0,0,0,0
127,3,30,0,127,0,0,0,0,0
127,2,30,0,127,0,0,0,0,0
127,1,30,0,127,0,0,0,0,0
142,4,45,0,142,0,0,0,0,0
142,3,45,110,32,1,0.774647887,0.990990991,0.869565217,221.7391304
142,2,45,142,0,0,1,1,1,255
142,1,45,142,0,0,1,1,1,255
164,4,60,9,155,0,0.054878049,1,0.104046243,26.53179191
164,3,60,144,20,0,0.87804878,1,0.935064935,238.4415584
164,2,60,164,0,0,1,1,1,255
164,1,60,164,0,0,1,1,1,255
157,4,75,0,157,0,0,0,0,0
157,3,75,115,42,7,0.732484076,0.942622951,0.82437276,210.2150538
157,2,75,157,0,0,1,1,1,255
157,1,75,157,0,0,1,1,1,255
142,4,90,0,142,0,0,0,0,0
142,3,90,133,9,0,0.936619718,1,0.967272727,246.6545455
142,2,90,142,0,0,1,1,1,255
142,1,90,142,0,0,1,1,1,255
,,,,,,,,,
,,,,,,,,,
umetna,,,,,,,,,
frames, distance, angle, TP , FN , FP,,,,
113,4,90,100,13,1,0.884955752,0.99009901,0.934579439,238.317757
113,3,90,113,0,0,1,1,1,255
113,2,90,113,0,0,1,1,1,255
113,1,90,113,0,0,1,1,1,255
97,4,75,97,0,0,1,1,1,255
97,3,75,97,0,0,1,1,1,255
97,2,75,97,0,0,1,1,1,255
97,1,75,97,0,0,1,1,1,255
101,4,60,86,15,0,0.851485149,1,0.919786096,234.5454545
101,3,60,101,0,0,1,1,1,255
101,2,60,101,0,0,1,1,1,255
101,1,60,101,0,0,1,1,1,255
122,4,45,33,89,0,0.270491803,1,0.425806452,108.5806452
122,3,45,122,0,0,1,1,1,255
122,2,45,122,0,0,1,1,1,255
122,1,45,122,0,0,1,1,1,255
90,4,30,0,90,0,0,0,0,0
90,3,30,43,47,0,0.477777778,1,0.646616541,164.887218
90,2,30,90,0,0,1,1,1,255
90,1,30,90,0,0,1,1,1,255
,,,,,,,,,
umtresljaj,,,,,,,,,
frames, distance, angle, TP , FN , FP,,,,
94,4,90,77,17,3,0.819148936,0.9625,0.885057471,225.6896552
94,3,90,94,0,0,1,1,1,255
94,2,90,94,0,0,1,1,1,255
94,1,90,94,0,0,1,1,1,255
