dnevna
frames, distance, angle, TP , FN , FP
129 , 4 , 90 , 128 , 1 , 0
129 , 3 , 90 , 129 , 0 , 0
129 , 2 , 90 , 129 , 0 , 0
129 , 1 , 90 , 129 , 0 , 0
107 , 4 , 75 , 105 , 2 , 0
107 , 3 , 75 , 107 , 0 , 0
107 , 2 , 75 , 107 , 0 , 0
107 , 1 , 75 , 107 , 0 , 0
112 , 4 , 60 , 85 , 27 , 0
112 , 3 , 60 , 112 , 0 , 0
112 , 2 , 60 , 112 , 0 , 0
112 , 1 , 60 , 112 , 0 , 0
135 , 4 , 45 , 61 , 74 , 0
135 , 3 , 45 , 135 , 0 , 0
135 , 2 , 45 , 135 , 0 , 0
135 , 1 , 45 , 135 , 0 , 0
132 , 4 , 30 , 0 , 132 , 0
132 , 3 , 30 , 105 , 27 , 0
132 , 2 , 30 , 132 , 0 , 0
132 , 1 , 30 , 132 , 0 , 0

temna
frames, distance, angle, TP , FN , FP
127 , 4 , 30 , 0 , 127 , 0
127 , 3 , 30 , 0 , 127 , 0
127 , 2 , 30 , 0 , 127 , 0
127 , 1 , 30 , 0 , 127 , 0
142 , 4 , 45 , 0 , 142 , 0
142 , 3 , 45 , 110 , 32 , 1
142 , 2 , 45 , 142 , 0 , 0
142 , 1 , 45 , 142 , 0 , 0
164 , 4 , 60 , 9 , 155 , 0
164 , 3 , 60 , 144 , 20 , 0
164 , 2 , 60 , 164 , 0 , 0
164 , 1 , 60 , 164 , 0 , 0
157 , 4 , 75 , 0 , 157 , 0
157 , 3 , 75 , 115 , 42 , 7
157 , 2 , 75 , 157 , 0 , 0
157 , 1 , 75 , 157 , 0 , 0
142 , 4 , 90 , 0 , 142 , 0
142 , 3 , 90 , 133 , 9 , 0
142 , 2 , 90 , 142 , 0 , 0
142 , 1 , 90 , 142 , 0 , 0


umetna
frames, distance, angle, TP , FN , FP
113 , 4 , 90 , 100 , 13 , 1
113 , 3 , 90 , 113 , 0 , 0
113 , 2 , 90 , 113 , 0 , 0
113 , 1 , 90 , 113 , 0 , 0
97 , 4 , 75 , 97 , 0 , 0
97 , 3 , 75 , 97 , 0 , 0
97 , 2 , 75 , 97 , 0 , 0
97 , 1 , 75 , 97 , 0 , 0
101 , 4 , 60 , 86 , 15 , 0
101 , 3 , 60 , 101 , 0 , 0
101 , 2 , 60 , 101 , 0 , 0
101 , 1 , 60 , 101 , 0 , 0
122 , 4 , 45 , 33 , 89 , 0
122 , 3 , 45 , 122 , 0 , 0
122 , 2 , 45 , 122 , 0 , 0
122 , 1 , 45 , 122 , 0 , 0
90 , 4 , 30 , 0 , 90 , 0
90 , 3 , 30 , 43 , 47 , 0
90 , 2 , 30 , 90 , 0 , 0
90 , 1 , 30 , 90 , 0 , 0

umtresljaj
frames, distance, angle, TP , FN , FP
94 , 4 , 90 , 77 , 17 , 3
94 , 3 , 90 , 94 , 0 , 0
94 , 2 , 90 , 94 , 0 , 0
94 , 1 , 90 , 94 , 0 , 0

