confidance threshold = 0.15
dnevna
frames, distance, angle, TP , FN , FP
132 , 4 , 30 , 0 , 132 , 115
132 , 3 , 30 , 1 , 131 , 111
132 , 2 , 30 , 104 , 28 , 9
132 , 1 , 30 , 132 , 0 , 0
135 , 4 , 45 , 0 , 135 , 25
135 , 3 , 45 , 41 , 94 , 86
135 , 2 , 45 , 135 , 0 , 4
135 , 1 , 45 , 135 , 0 , 0
112 , 4 , 60 , 0 , 112 , 46
112 , 3 , 60 , 71 , 41 , 114
112 , 2 , 60 , 112 , 0 , 102
112 , 1 , 60 , 112 , 0 , 2
107 , 4 , 75 , 0 , 107 , 69
107 , 3 , 75 , 76 , 31 , 109
107 , 2 , 75 , 107 , 0 , 120
107 , 1 , 75 , 107 , 0 , 32
129 , 4 , 90 , 0 , 129 , 5
129 , 3 , 90 , 76 , 53 , 14
129 , 2 , 90 , 129 , 0 , 3
129 , 1 , 90 , 129 , 0 , 0

temna
frames, distance, angle, TP , FN , FP
127 , 4 , 30 , 0 , 127 , 13
127 , 3 , 30 , 0 , 127 , 0
127 , 2 , 30 , 0 , 127 , 5
127 , 1 , 30 , 0 , 127 , 0
142 , 4 , 45 , 0 , 142 , 0
142 , 3 , 45 , 0 , 142 , 16
142 , 2 , 45 , 7 , 135 , 44
142 , 1 , 45 , 109 , 33 , 45
164 , 4 , 60 , 0 , 164 , 152
164 , 3 , 60 , 0 , 164 , 100
164 , 2 , 60 , 28 , 136 , 175
164 , 1 , 60 , 164 , 0 , 0
157 , 4 , 75 , 0 , 157 , 117
157 , 3 , 75 , 0 , 157 , 0
157 , 2 , 75 , 38 , 119 , 0
157 , 1 , 75 , 157 , 0 , 1
142 , 4 , 90 , 0 , 142 , 0
142 , 3 , 90 , 0 , 142 , 0
142 , 2 , 90 , 65 , 77 , 0
142 , 1 , 90 , 142 , 0 , 0

umetna
frames, distance, angle, TP , FN , FP
90 , 4 , 30 , 0 , 90 , 0
90 , 3 , 30 , 0 , 90 , 5
90 , 2 , 30 , 55 , 35 , 34
90 , 1 , 30 , 90 , 0 , 0
122 , 4 , 45 , 0 , 122 , 13
122 , 3 , 45 , 29 , 93 , 4
122 , 2 , 45 , 122 , 0 , 5
122 , 1 , 45 , 122 , 0 , 0
101 , 4 , 60 , 0 , 101 , 11
101 , 3 , 60 , 53 , 48 , 23
101 , 2 , 60 , 101 , 0 , 18
101 , 1 , 60 , 101 , 0 , 0
97 , 4 , 75 , 0 , 97 , 34
97 , 3 , 75 , 70 , 27 , 51
97 , 2 , 75 , 97 , 0 , 24
97 , 1 , 75 , 97 , 0 , 7
113 , 4 , 90 , 0 , 113 , 20
113 , 3 , 90 , 62 , 51 , 16
113 , 2 , 90 , 113 , 0 , 0
113 , 1 , 90 , 113 , 0 , 0

umetna tresljaj
frames, distance, angle, TP , FN , FP
94 , 4 , 90 , 0 , 94 , 8
94 , 3 , 90 , 38 , 56 , 14
94 , 2 , 90 , 94 , 0 , 2
94 , 1 , 90 , 94 , 0 , 2

