frames,distance,angle,TP , FN , FP,recall,precision,F1,
129,4,90,129,0,141,1,0.477777778,0.646616541,77.59398496
129,3,90,129,0,52,1,0.712707182,0.832258065,99.87096774
129,2,90,129,0,26,1,0.832258065,0.908450704,109.0140845
129,1,90,129,0,32,1,0.801242236,0.889655172,106.7586207
107,4,75,107,0,210,1,0.337539432,0.504716981,60.56603774
107,3,75,107,0,51,1,0.67721519,0.80754717,96.90566038
107,2,75,107,0,70,1,0.604519774,0.753521127,90.42253521
107,1,75,107,0,16,1,0.869918699,0.930434783,111.6521739
112,4,60,112,0,160,1,0.411764706,0.583333333,70
112,3,60,112,0,124,1,0.474576271,0.643678161,77.24137931
112,2,60,112,0,17,1,0.868217054,0.929460581,111.5352697
112,1,60,112,0,21,1,0.842105263,0.914285714,109.7142857
135,4,45,135,0,193,1,0.411585366,0.583153348,69.97840173
135,3,45,135,0,54,1,0.714285714,0.833333333,100
135,2,45,135,0,1,1,0.992647059,0.996309963,119.5571956
135,1,45,135,0,0,1,1,1,120
132,4,30,130,2,84,0.984848485,0.607476636,0.751445087,90.1734104
132,3,30,132,0,64,1,0.673469388,0.804878049,96.58536585
132,2,30,132,0,26,1,0.835443038,0.910344828,109.2413793
132,1,30,132,0,6,1,0.956521739,0.977777778,117.3333333
127,4,30,0,127,111,0,0,0,0
127,3,30,0,127,180,0,0,0,0
127,2,30,15,112,337,0.118110236,0.042613636,0.06263048,7.51565762
127,1,30,100,27,217,0.787401575,0.315457413,0.45045045,54.05405405
142,4,45,142,0,61,1,0.699507389,0.823188406,98.7826087
142,3,45,142,0,3,1,0.979310345,0.989547038,118.7456446
142,2,45,142,0,15,1,0.904458599,0.949832776,113.9799331
142,1,45,142,0,7,1,0.953020134,0.975945017,117.1134021
164,4,60,164,0,5,1,0.970414201,0.984984985,118.1981982
164,3,60,164,0,0,1,1,1,120
164,2,60,164,0,1,1,0.993939394,0.996960486,119.6352584
164,1,60,164,0,5,1,0.970414201,0.984984985,118.1981982
157,4,75,157,0,24,1,0.867403315,0.928994083,111.4792899
157,3,75,157,0,58,1,0.730232558,0.844086022,101.2903226
157,2,75,157,0,1,1,0.993670886,0.996825397,119.6190476
157,1,75,157,0,15,1,0.912790698,0.954407295,114.5288754
142,4,90,142,0,54,1,0.724489796,0.840236686,100.8284024
142,3,90,142,0,31,1,0.820809249,0.901587302,108.1904762
142,2,90,142,0,68,1,0.676190476,0.806818182,96.81818182
142,1,90,142,0,4,1,0.97260274,0.986111111,118.3333333
113,4,90,113,0,70,1,0.617486339,0.763513514,91.62162162
113,3,90,113,0,112,1,0.502222222,0.668639053,80.23668639
113,2,90,113,0,27,1,0.807142857,0.893280632,107.1936759
113,1,90,113,0,14,1,0.88976378,0.941666667,113
97,4,75,97,0,66,1,0.595092025,0.746153846,89.53846154
97,3,75,97,0,35,1,0.734848485,0.847161572,101.6593886
97,2,75,97,0,13,1,0.881818182,0.937198068,112.4637681
97,1,75,97,0,3,1,0.97,0.984771574,118.1725888
101,4,60,101,0,99,1,0.505,0.671096346,80.53156146
101,3,60,101,0,76,1,0.570621469,0.726618705,87.1942446
101,2,60,101,0,29,1,0.776923077,0.874458874,104.9350649
101,1,60,101,0,10,1,0.90990991,0.952830189,114.3396226
122,4,45,122,0,144,1,0.458646617,0.628865979,75.46391753
122,3,45,122,0,83,1,0.595121951,0.74617737,89.5412844
122,2,45,122,0,37,1,0.767295597,0.868327402,104.1992883
122,1,45,122,0,1,1,0.991869919,0.995918367,119.5102041
90,4,30,90,0,132,1,0.405405405,0.576923077,69.23076923
90,3,30,90,0,125,1,0.418604651,0.590163934,70.81967213
90,2,30,90,0,32,1,0.737704918,0.849056604,101.8867925
90,1,30,90,0,0,1,1,1,120
94,4,90,94,0,51,1,0.648275862,0.786610879,94.39330544
94,3,90,94,0,139,1,0.403433476,0.574923547,68.99082569
94,2,90,94,0,32,1,0.746031746,0.854545455,102.5454545
94,1,90,94,0,8,1,0.921568627,0.959183673,115.1020408
